Nome Comum,Nome Científico,Detecções,Chamadas
Pomba-Asa-Branca,Patagioenas picazuro,7,7
Pomba-Galega,Patagioenas cayennensis,3,3
Pompeu,Hylopezus ochroleucus,49,49
Pula-Pula,Basileuterus culicivorus,83,83
Pula-Pula-Assobiador,Myiothlypis leucoblephara,3,3
Pula-Pula-Ribeirinho/Pula-Pula-Da-Guiana,Myiothlypis rivularis,1,1
Quero-Quero,Vanellus chilensis,281,281
Quiriquiri,Falco sparverius,14,14
Risadinha,Camptostoma obsoletum,62,62
Rolinha-Cinzenta,Columbina passerina,2,2
Rolinha-Roxa,Columbina talpacoti,1,1
Russet-Crowned Crake,Anurolimnas viridis,1,1
Sabiazinho-Norte-Americano,Catharus fuscescens,2,2
Sabiá-Barranco,Turdus leucomelas,50,50
Sabiá-Do-Banhado,Embernagra platensis,4,4
Sabiá-Do-Campo,Mimus saturninus,4,4
Sabiá-Laranjeira,Turdus rufiventris,9,9
Sabiá-Poca,Turdus amaurochalinus,2,2
Sanhaço-Cinzento,Thraupis sayaca,16,16
Sanhaço-Da-Amazônia,Thraupis episcopus,8,8
Sanhaço-De-Coleira,Schistochlamys melanopis,1,1
Sanhaço-De-Encontro-Azul,Thraupis cyanoptera,1,1
Sanhaço-Do-Coqueiro,Thraupis palmarum,9,9
Sanhaço-Frade,Stephanophorus diadematus,19,19
Sanhaço-Montano/De-Fogo,Piranga flava,4,4
Sanhaço-Pardo,Orchesticus abeillei,1,1
Sanã-Parda,Laterallus melanophaius,1,1
Saracura-Do-Banhado,Pardirallus sanguinolentus,1,1
Saracura-Sanã,Pardirallus nigricans,8,8
Saracura-Três-Potes,Aramides cajaneus,461,461
Saí-Andorinha,Tersina viridis,4,4
Saí-Azul,Dacnis cayana,2,2
Saí-Canário,Thlypopsis sordida,6,6
Saíra-Amarela,Stilpnia cayana,49,49
Saíra-Beija-Flor,Cyanerpes cyaneus,2,2
Saíra-De-Bando,Tangara mexicana,1,1
Saíra-De-Chapéu-Preto,Nemosia pileata,4,4
Saíra-De-Papo-Preto,Hemithraupis guira,16,16
Saíra-Ferrugem,Hemithraupis ruficapilla,1,1
Saíra-Sapucaia,Stilpnia peruviana,1,1
Saíra-Sete-Cores,Tangara seledon,1,1
Sebinho-De-Olho-De-Ouro,Hemitriccus margaritaceiventer,2,2
Serra Do Mar Tyrannulet,Phylloscartes difficilis,1,1
Socó-Dorminhoco,Nycticorax nycticorax,28,28
Spot-Tailed Nightjar,Hydropsalis maculicaudus,1,1
Suiriri,Tyrannus melancholicus,226,226
Suiriri-Cinzento,Suiriri suiriri,1,1
Suiriri-Valente,Tyrannus tyrannus,18,18
Tangará,Chiroxiphia caudata,3,3
Tapaculo-Pintado,Psilorhamphus guttatus,1,1
Tapaculo-Preto,Scytalopus speluncae,2,2
Tauató-Miúdo,Accipiter striatus,7,7
Tem-Farinha-Aí,Myrmorchilus strigilatus,2,2
Teque-Teque,Todirostrum poliocephalum,1,1
Tesourinha/Tesourinha-Do-Norte,Tyrannus savana,44,44
Tico-Tico,Zonotrichia capensis,2,2
Tico-Tico-De-Bico-Amarelo/De-Costas-Cinza,Arremon flavirostris,2,2
Tico-Tico-De-Bico-Preto,Arremon taciturnus,3,3
Tico-Tico-De-Máscara-Negra,Coryphaspiza melanotis,2,2
Tico-Tico-Do-Campo,Ammodramus humeralis,73,73
Tico-Tico-Rei,Coryphospingus cucullatus,40,40
Tico-Tico-Rei-Cinza,Coryphospingus pileatus,12,12
Tiriba-De-Testa-Vermelha,Pyrrhura frontalis,1,1
Tiziu,Volatinia jacarina,2368,2368
Tiê-De-Bando/Do-Mato-Grosso,Habia rubica,5,5
Tiê-Preto,Tachyphonus coronatus,2,2
Tororó,Poecilotriccus plumbeiceps,2,2
Trepador-Quiete,Syndactyla rufosuperciliata,13,13
Trepadorzinho,Heliobletus contaminatus,1,1
Trinta-Réis-De-Bando,Thalasseus sandvicensis,8,8
Tucano-De-Bico-Preto,Ramphastos vitellinus,1,1
Tucanuçu,Ramphastos toco,16,16
Tuque-Pium,Elaenia parvirostris,1,1
Udu-De-Coroa-Azul,Momotus momota,1,1
Uirapuru-Laranja,Pipra fasciicauda,4,4
Uru,Odontophorus capueira,34,34
Urubu-Preto,Coragyps atratus,1,1
Urubuzinho,Chelidoptera tenebrosa,1,1
Urutau,Nyctibius griseus,20,20
Verdinho-Coroado,Hylophilus poicilotis,2,2
Vira-Folha/Vira-Folha-Cearense,Sclerurus scansor,1,1
Vite-Vite-De-Olho-Cinza,Hylophilus amaurocephalus,3,3
Yellow-Headed Caracara,Milvago chimachima,17,17
Águia-Pescadora,Pandion haliaetus,10,10
Águia-Serrana,Geranoaetus melanoleucus,1,1
